,Guarda-Mor,Lagamar,Campos Altos,Ibiá,Vazante,Coromandel,Monte Carmelo,Serra do Salitre,Abadia dos Dourados,Cruzeiro da Fortaleza,Douradoquara,Guimarânia,Pedrinópolis,Iraí de Minas,Presidente Olegário,Santa Juliana,Lagoa Formosa,Romaria,Patrocínio,Patos de Minas,Araxá,Tapira,Pratinha,São Gotardo,Varjão de Minas,Estrela do Sul,Campos Altos.1,Perdizes,Santa Rosa da Serra,Matutina,Rio Paranaíba,São João da Serra Negra,Pedra do Indaiá,Tiros,São Romão
Guarda-Mor,0.0,206.92083333333335,887.7266666666666,788.5100000000001,118.64166666666665,300.06416666666667,453.01666666666665,628.6899999999999,350.3508333333333,589.1716666666666,467.87,516.8141666666667,809.9058333333332,569.1741666666667,367.78583333333336,755.2916666666666,512.8566666666667,513.7633333333333,525.7683333333333,448.96750000000003,818.0749999999999,976.2841666666667,890.8458333333333,767.74,610.8508333333333,546.2033333333333,887.7266666666666,703.0675000000001,906.6233333333334,758.4183333333333,727.1291666666666,659.2366666666667,1300.2083333333333,745.4499999999999,1159.9483333333335
Lagamar,204.9375,0.0,682.7283333333334,673.8491666666667,86.52583333333334,207.49333333333334,360.44583333333327,536.1191666666666,257.77166666666665,412.24833333333333,375.2908333333333,377.9866666666666,732.6408333333334,476.6058333333333,162.79583333333335,735.2083333333334,307.8666666666666,421.195,448.5008333333333,243.9775,690.62,848.8316666666667,763.3933333333334,562.7525,405.85249999999996,453.635,682.7283333333334,625.8108333333333,701.625,553.4225,522.1308333333333,454.2383333333333,1095.2125,540.4625,1248.5625
Campos Altos,887.3575,684.2600000000001,0.0,171.14,768.9516666666666,630.8641666666667,664.1483333333333,627.4141666666667,705.4725,409.7783333333333,805.5516666666667,480.68083333333334,497.8183333333333,610.645,532.1091666666666,500.37749999999994,389.82750000000004,652.8225,424.4758333333333,461.9666666666667,285.6041666666667,443.8075,196.1483333333333,193.06666666666666,623.2391666666666,697.4933333333333,0.0,434.46416666666664,120.36749999999999,257.645,235.00583333333333,337.42,503.7966666666666,322.2241666666667,1623.8666666666668
Ibiá,783.6283333333333,660.1475,173.51416666666665,0.0,744.8416666666667,486.6675000000001,519.9516666666666,550.88,561.2758333333334,265.58166666666665,661.355,336.4841666666666,424.1691666666667,466.4483333333333,508.00749999999994,426.7366666666667,381.80499999999995,508.62833333333333,280.2791666666667,426.75916666666666,211.955,370.1666666666667,130.01583333333332,185.0525,599.1266666666667,553.2966666666666,173.51416666666665,360.815,283.31916666666666,249.6225,226.99166666666667,329.4083333333333,676.9041666666667,314.20416666666665,1599.765
Vazante,118.60083333333333,86.825,767.6225000000001,758.7408333333333,0.0,312.13166666666666,465.0841666666667,640.7575,362.41,497.1341666666667,479.9291666666667,462.87833333333333,821.965,581.2416666666666,247.69,767.3591666666666,392.76083333333327,525.8308333333333,537.8358333333333,328.8691666666666,775.5116666666668,933.715,848.285,647.6441666666667,490.74666666666667,558.2733333333333,767.6225000000001,715.135,786.5166666666667,638.3141666666666,607.0225,539.1325,1180.1041666666667,625.3541666666666,1266.1958333333332
Coromandel,300.6066666666667,208.76166666666666,637.5791666666667,491.74499999999995,312.65666666666664,0.0,170.21083333333334,345.88166666666666,67.5425,292.415,185.06166666666667,220.04666666666665,513.1408333333334,286.36833333333334,432.3125,472.4916666666667,398.15666666666664,230.9575,229.00083333333336,351.075,521.3075,679.5191666666667,594.0808333333334,607.0625,523.4425,263.3975,637.5791666666667,406.30833333333334,745.9350000000001,609.1258333333334,502.0591666666666,544.5366666666666,1139.5225,630.7524999999999,1448.2016666666668
Monte Carmelo,450.0633333333334,358.21833333333336,668.5891666666666,522.755,462.11583333333334,168.615,0.0,184.1158333333333,105.89000000000001,383.2608333333334,148.42000000000002,310.89250000000004,359.8933333333333,124.60249999999999,523.1666666666666,310.7258333333333,489.00500000000005,69.19166666666666,248.15,441.92083333333335,539.3775,703.46,625.0908333333333,638.0641666666667,614.2883333333333,101.63166666666667,668.5891666666666,404.605,776.9450000000002,640.1275,533.0691666666667,558.1591666666667,1170.5325,704.7175,1614.9241666666667
Serra do Salitre,628.9966666666667,537.1433333333333,631.6358333333333,552.01,641.0383333333334,347.54,185.94166666666666,0.0,284.815,412.5158333333333,327.34499999999997,340.1475,180.33916666666667,97.02166666666666,552.4216666666666,131.17416666666668,518.2574999999999,129.98416666666665,277.40250000000003,471.1758333333333,359.8233333333334,523.9166666666666,588.1374999999999,667.3191666666667,643.5433333333333,219.2866666666667,631.6358333333333,239.73499999999999,735.3558333333333,669.3825,562.3241666666667,587.4141666666667,1118.7908333333332,733.97,1644.1791666666666
Abadia dos Dourados,349.63666666666666,257.79166666666663,702.5983333333334,556.7641666666667,361.6866666666666,68.18833333333333,106.8825,282.55583333333334,0.0,357.43416666666667,121.73583333333332,285.06583333333333,458.3308333333334,223.04,413.01249999999993,409.15749999999997,463.17833333333334,167.6291666666667,294.0283333333333,416.09416666666664,586.3266666666666,744.5383333333333,659.1083333333333,672.0816666666667,588.4616666666667,200.06916666666666,702.5983333333334,471.33000000000004,810.9541666666667,674.1450000000001,567.0866666666667,609.5583333333334,1204.55,695.7716666666666,1497.2316666666666
Cruzeiro da Fortaleza,589.3375,414.6166666666667,414.475,268.6408333333333,499.3083333333334,292.37666666666667,383.8475,414.7733333333333,366.985,0.0,484.5066666666666,77.33416666666666,444.92583333333334,330.34416666666664,262.4658333333333,447.49333333333334,228.31,372.52166666666665,160.79666666666668,181.22583333333333,298.2033333333333,456.41499999999996,370.97416666666663,329.44833333333327,353.5933333333333,417.1925,414.475,338.09583333333336,468.33166666666665,331.51166666666666,224.45583333333335,249.54583333333335,861.9166666666666,396.1016666666667,1354.2233333333334
