,Guarda-Mor,Lagamar,Campos Altos,Ibiá,Vazante,Coromandel,Monte Carmelo,Serra do Salitre,Abadia dos Dourados,Cruzeiro da Fortaleza,Douradoquara,Guimarânia,Pedrinópolis,Iraí de Minas,Presidente Olegário,Santa Juliana,Lagoa Formosa,Romaria,Patrocínio,Patos de Minas,Araxá,Tapira,Pratinha,São Gotardo,Varjão de Minas,Estrela do Sul,Campos Altos,Perdizes,Santa Rosa da Serra,Matutina,Rio Paranaíba,São João da Serra Negra,Pedra do Indaiá,Tiros,São Romão
Guarda-Mor,0.0,69.635,305.024,269.564,40.01,102.399,154.42,215.856,120.457,201.172,159.638,176.339,278.329,194.803,124.881,258.76,174.406,175.282,179.124,151.717,279.96,333.527,305.145,262.656,208.227,186.688,305.024,241.697,310.516,257.734,248.775,222.078,445.02,253.01,392.706
Lagamar,69.065,0.0,235.688,233.043,28.787,66.424,118.445,179.881,84.482,139.736,123.663,128.718,251.853,158.829,55.545,253.03,105.07,139.308,152.647,82.381,237.328,290.896,262.514,193.321,138.891,150.714,235.688,215.221,241.18,188.399,179.439,152.742,375.685,183.675,422.305
Campos Altos,304.783,236.014,0.0,57.556,264.504,216.609,228.146,215.369,242.369,140.578,276.434,164.249,171.094,209.358,182.947,172.271,134.711,224.459,145.387,158.94,97.165,150.733,66.576,65.39,215.829,239.844,0.0,148.689,39.327,87.238,80.469,113.778,170.272,109.643,553.69
Ibiá,268.738,226.529,58.059,0.0,255.02,166.497,178.034,188.912,192.257,90.466,226.322,114.137,145.251,159.246,173.463,146.428,132.242,174.348,95.275,145.847,71.322,124.89,43.233,62.921,206.344,189.732,58.059,122.846,96.751,84.769,78.0,111.31,231.255,107.175,544.206
Vazante,40.037,28.75,264.139,261.493,0.0,106.916,158.937,220.373,124.974,168.187,164.155,157.168,282.846,199.32,83.996,263.277,133.521,179.799,183.641,110.831,265.778,319.346,290.964,221.771,167.342,191.206,264.139,246.214,269.63,216.849,207.889,181.193,404.135,212.125,429.815
Coromandel,103.036,66.988,218.275,167.868,107.526,0.0,56.661,118.096,22.697,99.476,61.878,74.642,176.633,97.044,146.995,161.0,136.226,77.523,77.427,119.38,178.263,231.831,203.449,207.685,179.877,88.929,218.275,140.0,255.544,206.857,171.367,183.898,390.049,214.831,492.814
Monte Carmelo,154.132,118.084,229.129,178.722,158.623,56.326,0.0,63.233,35.316,130.621,49.648,105.787,122.884,42.181,178.14,106.137,167.372,22.66,84.61,150.525,184.721,240.284,214.303,218.539,211.022,34.066,229.129,139.922,266.398,217.711,182.221,186.377,400.903,240.117,548.883
Serra do Salitre,216.352,180.304,215.611,188.834,220.842,118.546,63.58,0.0,97.536,140.733,111.868,115.899,60.859,32.652,188.252,44.113,177.483,44.297,94.721,160.637,122.696,178.26,200.785,228.651,221.134,75.278,215.611,81.554,250.239,227.823,192.333,196.489,381.183,250.228,558.995
Abadia dos Dourados,120.618,84.57,240.146,189.739,125.108,22.812,35.393,96.829,0.0,121.347,40.611,96.513,156.479,75.776,138.295,139.733,158.098,56.255,99.298,141.251,200.134,253.702,225.32,229.556,201.748,67.661,240.146,161.872,277.415,228.728,193.238,205.77,411.92,236.702,510.396
Cruzeiro da Fortaleza,200.975,140.12,141.6,91.193,168.61,98.734,129.999,140.876,124.494,0.0,163.676,25.207,151.597,111.211,87.053,152.774,76.284,126.312,52.392,59.437,101.588,155.156,126.773,112.966,119.934,141.697,141.6,114.965,160.826,112.138,76.649,80.805,295.33,134.544,457.796
Douradoquara,159.948,123.9,277.121,226.714,164.438,62.142,49.79,111.225,41.132,160.677,0.0,135.843,170.876,90.173,177.625,154.129,197.428,70.652,132.602,180.581,232.712,288.276,262.295,266.531,241.078,51.261,277.121,187.914,314.39,265.703,230.213,245.1,448.895,276.032,549.726
Guimarânia,176.454,128.974,165.301,114.894,157.464,74.213,105.478,116.356,99.974,25.218,139.155,0.0,127.077,86.69,75.907,128.254,65.139,101.791,27.871,48.292,125.289,178.857,150.475,136.668,108.789,117.176,165.301,90.444,184.527,135.84,100.35,112.811,319.032,143.743,446.65
Pedrinópolis,278.778,252.777,171.576,146.462,283.268,176.537,122.658,60.287,156.614,152.191,170.946,127.357,0.0,91.731,199.71,17.19,188.941,103.375,99.428,172.094,78.661,134.224,156.749,208.73,232.591,134.356,171.576,37.519,206.204,230.578,211.721,215.877,337.148,252.984,570.453
Iraí de Minas,194.403,158.355,209.184,158.777,198.894,96.597,41.631,32.393,75.587,110.676,89.919,85.842,92.043,0.0,158.195,75.297,147.427,27.224,64.665,130.58,153.88,209.444,194.358,198.594,191.077,53.329,209.184,119.977,246.453,197.766,162.276,166.432,380.958,220.172,528.938
Presidente Olegário,124.377,55.609,182.74,180.095,84.099,146.041,177.306,188.184,138.316,86.788,177.498,75.77,198.905,158.518,0.0,200.082,52.122,173.619,99.699,29.433,184.38,237.948,209.565,140.372,85.943,189.004,182.74,162.272,188.232,135.451,126.491,99.794,322.736,130.727,407.812
Santa Juliana,259.472,253.786,172.585,147.472,263.962,161.666,106.7,44.329,140.656,153.2,154.988,128.366,17.833,75.772,200.719,0.0,189.951,87.417,100.437,173.104,79.67,135.234,157.759,209.74,233.601,118.398,172.585,38.529,207.213,231.588,212.731,216.887,338.158,253.994,571.462
Lagoa Formosa,173.922,105.153,136.272,133.627,133.643,136.069,167.334,178.212,161.83,53.878,201.011,65.798,188.933,148.546,52.086,190.11,0.0,163.647,89.727,28.079,151.47,205.038,176.864,93.905,84.968,,136.272,,,,,,,,
Romaria,175.45,139.401,225.324,174.917,179.94,77.644,22.678,43.94,56.634,126.816,70.966,101.982,103.59,27.783,174.335,86.844,163.567,0.0,80.805,146.72,165.427,220.991,210.498,214.734,207.217,34.376,225.324,124.285,262.593,213.906,178.416,182.572,397.098,236.312,545.078
Patrocínio,178.155,152.154,146.866,96.458,182.645,75.914,84.131,95.009,101.675,51.568,132.419,26.734,98.562,65.343,99.087,99.74,88.319,80.445,0.0,71.472,106.853,160.421,132.039,136.275,131.969,95.829,146.866,61.93,184.135,135.447,99.958,104.114,318.639,157.853,469.83
Patos de Minas,151.12,82.352,159.068,146.687,110.842,118.743,150.008,160.886,144.504,59.49,183.685,48.472,171.607,131.221,29.285,172.784,28.45,146.322,72.401,0.0,157.082,210.65,182.268,116.701,71.846,161.706,159.068,134.974,164.56,111.779,102.819,76.122,299.065,107.055,409.708
Araxá,280.347,238.139,97.396,72.283,266.629,178.106,184.917,122.546,203.867,102.076,233.205,125.746,78.271,153.989,185.072,79.448,174.303,165.633,106.884,157.457,0.0,55.266,82.57,134.551,217.954,196.615,97.396,55.866,132.024,156.399,137.541,141.697,262.968,178.804,555.815
Tapira,332.8,290.591,149.848,124.735,319.081,230.559,240.547,178.176,256.319,154.528,288.835,178.199,133.901,209.619,237.524,135.078,226.756,221.263,159.336,209.909,55.396,0.0,135.022,187.003,270.406,252.245,149.848,111.496,184.476,208.851,189.994,194.149,315.421,231.257,608.267
Pratinha,304.047,261.839,39.217,42.754,290.329,201.806,213.344,200.566,227.567,125.776,261.632,149.447,156.292,194.556,208.772,157.469,174.343,209.657,130.584,181.157,82.363,135.931,0.0,105.022,241.654,225.042,39.217,133.886,73.845,126.87,120.101,153.411,204.789,149.276,579.515
São Gotardo,262.576,193.808,65.963,63.318,222.298,207.489,219.026,229.904,233.249,113.371,267.314,137.042,208.573,200.238,140.741,209.75,92.505,215.339,136.267,116.734,134.644,188.212,106.555,0.0,173.623,230.724,65.963,186.168,71.455,23.437,38.263,71.572,205.959,45.843,511.484
Varjão de Minas,207.641,138.873,215.973,213.327,167.363,179.274,210.539,221.416,205.034,120.021,244.216,109.003,232.137,191.751,85.806,233.315,85.355,206.852,132.932,71.491,217.612,271.18,242.798,173.605,0.0,222.237,215.973,195.505,221.465,168.683,159.724,133.027,355.969,163.959,337.861
Estrela do Sul,187.1,151.051,240.717,190.31,191.59,89.294,34.328,74.821,68.284,142.209,51.253,117.375,134.471,53.769,189.728,117.725,178.96,34.248,96.198,162.113,196.308,251.872,225.891,230.127,222.61,0.0,240.717,151.51,277.986,229.299,193.809,197.965,412.491,251.705,560.471
Campos Altos,304.783,236.014,0.0,57.556,264.504,216.609,228.146,215.369,242.369,140.578,276.434,164.249,171.094,209.358,182.947,172.271,134.711,224.459,145.387,158.94,97.165,150.733,66.576,65.39,215.829,239.844,0.0,148.689,39.327,87.238,80.469,113.778,170.272,109.643,553.69
Perdizes,241.362,215.361,149.152,124.039,245.852,139.121,139.735,81.011,164.882,114.775,188.023,89.941,36.736,112.454,162.294,37.913,151.526,124.098,62.012,134.679,56.237,111.801,134.326,186.307,195.176,151.432,149.152,0.0,183.78,196.629,161.14,165.295,314.725,219.035,533.037
Santa Rosa da Serra,309.831,241.063,39.229,96.683,269.553,251.035,262.572,249.794,276.795,160.626,310.86,184.297,205.52,243.784,187.996,206.697,139.759,258.885,179.813,163.988,131.591,185.159,101.002,70.438,220.878,274.27,39.229,183.115,0.0,48.422,85.517,118.827,179.225,70.827,558.739
Matutina,257.094,188.325,87.383,84.738,216.816,219.241,217.919,228.796,245.002,112.263,266.207,135.934,229.993,199.131,135.259,231.17,87.022,214.232,135.159,111.251,156.064,209.632,127.975,23.559,168.14,229.616,87.383,197.07,48.531,0.0,37.155,66.09,227.38,27.854,506.002
Rio Paranaíba,248.578,179.809,80.29,77.645,208.3,170.418,181.955,192.833,196.179,76.3,230.243,99.971,211.179,163.168,126.743,212.356,78.506,178.269,99.196,102.735,137.25,190.818,120.882,37.923,159.624,193.653,80.29,161.107,85.782,37.095,0.0,21.516,220.287,59.501,497.486
São João da Serra Negra,225.036,156.267,113.545,110.9,184.757,187.183,186.12,196.998,212.944,80.465,252.125,116.912,215.344,167.333,103.2,216.521,54.964,182.434,103.361,79.193,141.415,194.983,154.137,71.177,136.082,197.818,113.545,165.272,119.037,66.256,21.246,0.0,253.541,61.532,473.943
Pedra do Indaiá,444.401,375.632,170.417,231.252,404.122,382.223,393.76,380.983,407.983,295.195,442.048,318.866,336.708,374.972,322.565,337.885,274.329,390.073,311.001,298.558,262.779,316.347,232.19,205.008,355.447,405.458,170.417,314.303,178.945,226.856,220.087,253.396,0.0,249.261,584.054
Tiros,252.398,183.629,109.588,106.943,212.119,214.545,245.81,256.688,240.306,134.468,279.487,144.274,252.198,227.022,130.562,253.375,82.326,242.123,157.364,106.555,178.269,231.837,150.18,45.764,163.444,,109.588,,,,,,,,
São Romão,392.643,380.967,553.724,551.079,429.882,492.27,548.29,559.168,510.328,457.772,549.509,446.754,569.889,529.503,366.676,571.066,423.106,544.604,470.683,409.243,555.364,608.932,580.55,511.357,337.751,559.988,553.724,533.256,559.216,506.435,497.475,470.778,584.045,501.711,0.0
