,Guarda-Mor,Lagamar,Campos Altos,Ibiá,Vazante,Coromandel,Monte Carmelo,Serra do Salitre,Abadia dos Dourados,Cruzeiro da Fortaleza,Douradoquara,Guimarânia,Pedrinópolis,Iraí de Minas,Presidente Olegário,Santa Juliana,Lagoa Formosa,Romaria,Patrocínio,Patos de Minas,Araxá,Tapira,Pratinha,São Gotardo,Varjão de Minas,Estrela do Sul,Campos Altos,Perdizes,Santa Rosa da Serra,Matutina,Rio Paranaíba,São João da Serra Negra,Pedra do Indaiá,Tiros,São Romão
Guarda-Mor,0.0,65.66666666666667,250.33333333333334,229.2,37.233333333333334,88.13333333333334,133.93333333333334,178.1,98.41666666666667,172.48333333333332,137.55,151.93333333333334,228.16666666666666,164.33333333333334,111.16666666666667,216.78333333333333,153.68333333333334,151.11666666666667,155.91666666666666,139.35,236.35,284.93333333333334,255.96666666666667,222.2,180.56666666666666,158.96666666666667,250.33333333333334,197.65,260.6666666666667,228.16666666666666,210.38333333333333,208.08333333333334,375.31666666666666,225.85,356.3666666666667
Lagamar,64.55,0.0,187.01666666666668,182.48333333333332,29.116666666666667,82.86666666666666,128.66666666666666,172.83333333333334,93.13333333333334,125.81666666666666,132.26666666666668,112.38333333333334,206.01666666666668,159.06666666666666,47.86666666666667,205.26666666666668,90.38333333333334,145.85,133.76666666666668,76.05,194.6,243.18333333333334,214.21666666666667,158.9,117.25,153.7,187.01666666666668,175.51666666666668,197.35,164.85,147.06666666666666,144.76666666666668,312.0,162.55,385.6
Campos Altos,250.8,188.45,0.0,54.5,215.38333333333333,178.68333333333334,187.56666666666666,177.98333333333332,199.1,116.66666666666667,228.93333333333334,140.11666666666667,140.16666666666666,174.5,149.48333333333332,139.4,106.1,183.35,122.01666666666667,129.23333333333332,85.38333333333334,133.95,59.416666666666664,59.18333333333333,167.33333333333334,195.76666666666668,0.0,125.48333333333333,44.1,79.1,67.66666666666667,105.95,156.23333333333332,96.23333333333333,479.28333333333336
Ibiá,223.56666666666666,187.65,56.733333333333334,0.0,214.58333333333334,140.85,149.73333333333332,157.2,161.26666666666668,78.83333333333333,191.1,102.28333333333333,122.08333333333333,136.66666666666666,148.7,121.33333333333333,102.4,145.51666666666668,84.18333333333334,124.28333333333333,67.3,115.88333333333334,43.86666666666667,55.5,166.53333333333333,157.93333333333334,56.733333333333334,107.4,82.88333333333334,75.4,63.983333333333334,102.26666666666667,197.53333333333333,92.53333333333333,478.5
Vazante,37.016666666666666,29.9,214.55,210.01666666666668,0.0,89.68333333333334,135.48333333333332,179.65,99.95,153.33333333333334,139.08333333333334,139.91666666666666,229.7,165.88333333333333,75.4,218.33333333333334,117.91666666666667,152.66666666666666,157.46666666666667,103.58333333333333,222.13333333333333,270.7,241.75,186.43333333333334,144.78333333333333,160.51666666666668,214.55,199.2,224.88333333333333,192.38333333333333,174.6,172.3,339.53333333333336,190.08333333333334,383.31666666666666
Coromandel,86.03333333333333,82.58333333333333,183.78333333333333,144.15,87.68333333333334,0.0,57.11666666666667,101.28333333333333,21.6,87.45,60.733333333333334,66.88333333333334,143.11666666666667,87.51666666666667,129.65,139.98333333333332,115.18333333333334,74.3,70.86666666666666,105.25,151.3,199.88333333333333,170.91666666666666,175.7,147.5,82.15,183.78333333333333,112.61666666666666,214.15,183.96666666666667,147.28333333333333,169.58333333333334,328.8,187.35,432.3333333333333
Monte Carmelo,129.46666666666667,126.01666666666667,191.53333333333333,151.9,131.11666666666667,55.6,0.0,52.06666666666667,35.2,113.41666666666667,48.6,92.85,105.36666666666666,38.3,155.63333333333333,90.76666666666667,141.15,25.083333333333332,73.25,131.21666666666667,155.15,205.5,178.66666666666666,183.43333333333334,173.46666666666667,32.93333333333333,191.53333333333333,109.6,221.9,191.7,155.03333333333333,184.43333333333334,336.55,208.85,485.43333333333334
Serra do Salitre,176.23333333333332,172.76666666666668,185.21666666666667,159.85,177.86666666666667,102.35,53.983333333333334,0.0,81.95,121.36666666666666,95.35,100.8,56.38333333333333,30.783333333333335,163.58333333333334,41.78333333333333,149.1,38.483333333333334,81.2,139.16666666666666,106.16666666666667,156.53333333333333,172.35,191.38333333333333,181.41666666666666,62.18333333333333,185.21666666666667,71.7,219.51666666666668,199.65,162.98333333333332,192.38333333333333,331.6666666666667,216.8,493.3833333333333
Abadia dos Dourados,96.18333333333334,92.73333333333333,204.46666666666667,164.83333333333334,97.83333333333333,22.316666666666666,36.8,80.96666666666667,0.0,108.13333333333334,40.416666666666664,87.56666666666666,134.26666666666668,67.2,134.55,119.65,135.86666666666667,53.983333333333334,91.56666666666666,125.93333333333334,171.98333333333332,220.56666666666666,191.61666666666667,196.38333333333333,168.18333333333334,61.833333333333336,204.46666666666667,133.3,234.83333333333334,204.65,167.98333333333332,190.26666666666668,349.5,208.03333333333333,442.48333333333335
Cruzeiro da Fortaleza,173.8,128.63333333333333,120.95,81.31666666666666,155.56666666666666,91.08333333333333,117.7,125.16666666666667,111.5,0.0,150.63333333333333,28.633333333333333,131.86666666666667,104.63333333333334,89.66666666666667,131.11666666666667,75.2,113.48333333333333,59.63333333333333,65.26666666666667,88.46666666666667,137.05,108.08333333333333,94.06666666666666,107.51666666666667,125.9,120.95,101.36666666666666,132.53333333333333,102.33333333333333,65.66666666666667,95.06666666666666,247.18333333333334,119.48333333333333,419.46666666666664
